"lsoa11cd","CAUTH18NM","lsoa11nm","IMD.2010.adjusted","National.quintile1","National.decile2","imd_rank","GOR.CODE","GOR.NAME","IMD.SCORE","RANK.OF.IMD.SCORE..where.1.is.most.deprived.","INCOME.SCORE","RANK.OF.INCOME.SCORE..where.1.is.most.deprived.","EMPLOYMENT.SCORE","RANK.OF.EMPLOYMENT.SCORE..where.1.is.most.deprived.","HEALTH.DEPRIVATION.AND.DISABILITY.SCORE","RANK.OF.HEALTH.DEPRIVATION.AND.DISABILITY.SCORE..where.1.is.most.deprived.","EDUCATION.SKILLS.AND.TRAINING.SCORE","RANK.OF.EDUCATION.SKILLS.AND.TRAINING.SCORE..where.1.is.most.deprived.","BARRIERS.TO.HOUSING.AND.SERVICES.SCORE","RANK.OF.BARRIERS.TO.HOUSING.AND.SERVICES.SCORE..where.1.is.most.deprived.","CRIME.AND.DISORDER.SCORE","RANK.OF.CRIME.SCORE..where.1.is.most.deprived.","LIVING.ENVIRONMENT.SCORE","RANK.OF.LIVING.ENVIRONMENT.SCORE..where.1.is.most.deprived.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Children.Young.People.Sub.domain.Score","Children.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Skills.Sub.domain.Score","Skills.Sub.domain.Rank..where.1.is.most.deprived.","IDACI.score","Rank.of.IDACI..where.1.is.most.deprived.","IDAOPI.score","Rank.of.IDAOPI..where.1.is.most.deprived."
"E01006178","Greater Manchester","Trafford 014E",10.39,4,8,23741,"B","North West",10.39,23512,0.07,23317,0.07,19654,-0.12,17771,5.64,26355,7.32,30001,-0.01,16543,22.91,12013,18.19,14497,32.36,7633,9.13,21705,5.51,25471,3.48,27861,7.8,23015,0.04,29713,0.17,16248
"E01006179","Greater Manchester","Trafford 008C",32.8,2,3,7072,"B","North West",32.8,7010,0.18,9947,0.16,5486,0.6,7949,15.92,16345,17.65,19159,1.6,713,34.88,6638,24.63,10854,55.39,2536,19.38,13745,15.92,16046,15.33,16473,16.51,15628,0.22,12148,0.31,6734
"E01006180","Greater Manchester","Trafford 011D",26.11,2,4,10193,"B","North West",26.11,10091,0.14,12881,0.11,11227,0.37,10800,18.72,14267,9.27,28404,0.81,5365,57.41,1386,49.08,3470,74.06,890,7.69,23130,10.86,20101,24.3,11017,13.14,18162,0.23,11504,0.28,7834
"E01006181","Greater Manchester","Trafford 011E",18.94,3,5,14955,"B","North West",18.94,14810,0.13,14398,0.1,13272,0.09,14691,15.78,16450,10.95,26785,0.26,12600,35.8,6308,22.42,11989,62.54,1745,7.47,23360,14.43,17149,13.73,17687,17.82,14737,0.12,18697,0.22,12072
"E01006182","Greater Manchester","Trafford 006D",10.79,4,8,23203,"B","North West",10.79,22974,0.08,20902,0.07,20284,-0.2,18796,15.03,17075,9.7,27987,-0.01,16417,10.37,22486,10.81,20143,9.49,21358,9.01,21815,10.4,20516,10.8,20148,19.26,13822,0.08,23332,0.16,16881
"E01006183","Greater Manchester","Trafford 006E",11.33,4,7,22527,"B","North West",11.33,22304,0.08,21845,0.08,17706,-0.17,18395,10.79,20829,10.84,26899,-0.29,20545,19.89,13932,14,17482,31.68,7876,11.75,19316,9.93,20949,6.12,24790,15.45,16387,0.09,22505,0.09,26830
"E01006184","Greater Manchester","Trafford 008D",26.33,2,4,10075,"B","North West",26.33,9972,0.18,9745,0.17,4637,0.49,9213,15.24,16908,15.45,21822,-0.02,16713,27.45,9649,19.69,13554,42.95,4660,17.86,14712,13.04,18244,10.72,20222,19.77,13509,0.23,11264,0.19,14560
"E01006185","Greater Manchester","Trafford 001E",46.35,1,1,2907,"B","North West",46.35,2910,0.32,3089,0.26,942,1.56,1250,22.69,11798,13.87,23599,0.21,13213,36.17,6189,38.38,5778,31.74,7854,5.87,25065,21.87,12290,27.84,9382,17.53,14931,0.45,3253,0.47,1566
"E01006186","Greater Manchester","Trafford 003B",25.81,2,4,10340,"B","North West",25.81,10235,0.21,8163,0.14,7557,0.68,7113,20.36,13168,17.65,19165,-0.52,23759,26.47,10118,26.69,9887,26.03,10186,23.89,11224,11.41,19615,17.51,14944,23.2,11577,0.31,7854,0.32,6239
"E01006187","Greater Manchester","Trafford 003C",30.69,2,3,7975,"B","North West",30.69,7897,0.2,8307,0.14,6977,0.71,6777,29.96,8368,7.75,29663,0.16,13994,51.22,2301,50.9,3175,51.86,3027,0.52,31752,14.98,16735,32.33,7643,27.58,9496,0.33,7129,0.26,9478
