"lsoa11cd","CAUTH18NM","lsoa11nm","IMD.2010.adjusted","National.quintile1","National.decile2","imd_rank","GOR.CODE","GOR.NAME","IMD.SCORE","RANK.OF.IMD.SCORE..where.1.is.most.deprived.","INCOME.SCORE","RANK.OF.INCOME.SCORE..where.1.is.most.deprived.","EMPLOYMENT.SCORE","RANK.OF.EMPLOYMENT.SCORE..where.1.is.most.deprived.","HEALTH.DEPRIVATION.AND.DISABILITY.SCORE","RANK.OF.HEALTH.DEPRIVATION.AND.DISABILITY.SCORE..where.1.is.most.deprived.","EDUCATION.SKILLS.AND.TRAINING.SCORE","RANK.OF.EDUCATION.SKILLS.AND.TRAINING.SCORE..where.1.is.most.deprived.","BARRIERS.TO.HOUSING.AND.SERVICES.SCORE","RANK.OF.BARRIERS.TO.HOUSING.AND.SERVICES.SCORE..where.1.is.most.deprived.","CRIME.AND.DISORDER.SCORE","RANK.OF.CRIME.SCORE..where.1.is.most.deprived.","LIVING.ENVIRONMENT.SCORE","RANK.OF.LIVING.ENVIRONMENT.SCORE..where.1.is.most.deprived.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Children.Young.People.Sub.domain.Score","Children.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Skills.Sub.domain.Score","Skills.Sub.domain.Rank..where.1.is.most.deprived.","IDACI.score","Rank.of.IDACI..where.1.is.most.deprived.","IDAOPI.score","Rank.of.IDAOPI..where.1.is.most.deprived."
"E01004766","Greater Manchester","Bolton 005A",29.5,2,3,8503,"B","North West",29.5,8414,0.18,9850,0.14,7550,0.97,4428,21.58,12421,7.9,29549,0.51,8927,44.36,3817,38.92,5633,55.22,2558,3.44,27915,12.37,18797,18.25,14459,24.92,10713,0.18,14248,0.29,7273
"E01004767","Greater Manchester","Bolton 005B",21.64,2,4,12913,"B","North West",21.64,12782,0.12,14850,0.1,11768,0.71,6837,13.42,18468,9.69,27999,0.41,10269,35.84,6300,32.44,7605,42.62,4734,6.42,24467,12.97,18303,11.26,19744,15.57,16295,0.12,19049,0.2,13393
"E01004768","Greater Manchester","Bolton 001A",12.63,4,7,21012,"B","North West",12.63,20810,0.02,31818,0.04,28823,-0.26,19737,2.85,29614,30.06,7117,1.54,856,0.93,32308,0.97,31123,0.85,31283,55.45,2529,4.67,26438,2.14,29556,3.57,27756,0.02,31590,0.06,30263
"E01004769","Greater Manchester","Bolton 003A",7.9,5,9,26989,"B","North West",7.9,26715,0.04,28835,0.05,24976,0.34,11115,5.54,26469,15.41,21869,-0.81,27043,11.16,21620,11.32,19692,10.85,20106,20.82,12885,10,20883,3.35,28022,7.74,23081,0.03,30450,0.1,24080
"E01004770","Greater Manchester","Bolton 003B",9.61,4,8,24786,"B","North West",9.61,24537,0.08,21405,0.06,22154,0.2,13037,12.71,19073,6.81,30357,-0.58,24479,6.67,26873,6.11,24810,7.79,23031,9.17,21664,4.45,26694,9.97,20906,15.44,16391,0.06,25641,0.12,21585
"E01004771","Greater Manchester","Bolton 003C",4.75,5,10,30629,"B","North West",4.75,30309,0.03,31222,0.05,26030,-0.01,16032,3.78,28532,5.4,31206,-0.59,24653,4.42,29508,2.73,28796,7.78,23035,7.68,23138,3.12,28307,2.65,28908,4.91,26162,0,32330,0.05,31209
"E01004772","Greater Manchester","Bolton 005C",34.75,1,2,6371,"B","North West",34.75,6308,0.25,6010,0.18,3861,1.07,3634,20.33,13184,24.44,11954,-0.18,18898,34.87,6645,49.79,3352,5.02,26032,37.51,6018,11.37,19646,23.92,11207,16.73,15473,0.3,8167,0.36,4385
"E01004773","Greater Manchester","Bolton 003D",15.1,3,6,18363,"B","North West",15.1,18171,0.11,16659,0.08,17224,0.51,9066,10.02,21556,6.09,30827,-0.18,18921,23.29,11798,22.46,11970,24.94,10700,4.06,27154,8.12,22695,4.77,26317,15.26,16523,0.1,20556,0.19,14733
"E01004774","Greater Manchester","Bolton 005D",30.18,2,3,8197,"B","North West",30.18,8120,0.22,7390,0.13,8180,0.84,5587,24.07,11019,10.84,26896,0.5,9053,42.79,4230,45.11,4205,38.16,5839,8.59,22226,13.09,18199,19.29,13799,28.86,8960,0.31,7976,0.3,7130
"E01004775","Greater Manchester","Bolton 014A",13,4,7,20606,"B","North West",13,20407,0.06,24951,0.07,19117,0.15,13853,8.58,23016,31.88,5918,-0.83,27278,16.54,16518,14.8,16867,20.01,13361,56.84,2355,6.92,23935,11.65,19406,5.51,25470,0.05,27750,0.12,21633
"E01004776","Greater Manchester","Bolton 031A",25.97,2,4,10262,"B","North West",25.97,10158,0.15,12482,0.11,11569,0.85,5498,23.4,11397,23.1,13265,0.6,7839,27.78,9482,39.52,5477,4.29,26881,34.65,6869,11.55,19492,25.52,10423,21.28,12624,0.16,15248,0.33,5844
"E01004777","Greater Manchester","Bolton 004A",28.7,2,3,8892,"B","North West",28.7,8794,0.2,8390,0.14,7701,1.27,2396,25.23,10429,6.3,30701,-0.52,23760,30.05,8491,25.26,10549,39.62,5452,1.13,30907,11.48,19556,26.46,9992,24.01,11160,0.25,10528,0.31,6590
"E01004778","Greater Manchester","Bolton 009A",10.15,4,8,24060,"B","North West",10.15,23824,0.07,23474,0.07,18938,0.32,11415,12.33,19424,7.54,29813,-1.76,32071,10.57,22258,12.04,19075,7.65,23175,11.61,19439,3.46,27887,9.35,21486,15.3,16493,0.06,26583,0.1,24188
"E01004779","Greater Manchester","Bolton 007A",17.57,3,5,16130,"B","North West",17.57,15955,0.13,13822,0.09,14285,0.67,7258,18.11,14680,11.85,25877,-0.48,23175,12.02,20706,6.29,24609,23.48,11430,14.49,17100,9.2,21633,18.45,14330,17.78,14767,0.19,13445,0.28,8168
"E01004780","Greater Manchester","Bolton 009B",9.91,4,8,24395,"B","North West",9.91,24157,0.05,26386,0.07,19345,0.06,15120,5.07,27015,15.59,21653,-0.19,19072,15.83,17121,15.27,16516,16.96,15319,26.07,10170,5.12,25919,3.05,28393,7.1,23748,0.02,31464,0.13,20169
"E01004781","Greater Manchester","Bolton 007B",13.96,3,6,19482,"B","North West",13.96,19275,0.07,21942,0.08,15742,0.44,9935,15.26,16893,14.18,23233,-1.03,28882,19.6,14129,20.01,13362,18.77,14124,23.05,11656,5.32,25686,14.87,16815,15.66,16235,0.08,23127,0.16,17205
"E01004782","Greater Manchester","Bolton 009C",29.19,2,3,8650,"B","North West",29.19,8558,0.17,10687,0.12,9525,1.21,2720,33,7287,11.49,26246,-0.02,16656,39.01,5312,50.43,3248,16.17,15869,10.2,20698,12.79,18448,27.98,9326,38.02,5876,0.19,13876,0.31,6720
"E01004783","Greater Manchester","Bolton 009D",11.6,4,7,22236,"B","North West",11.6,22014,0.06,25783,0.08,17260,0.2,13131,12.52,19237,16.28,20868,-1.4,31060,20.41,13575,20.58,13026,20.07,13325,25.21,10573,7.34,23489,11.6,19450,13.44,17923,0.07,24742,0.09,26144
"E01004784","Greater Manchester","Bolton 006A",6.1,5,9,29201,"B","North West",6.1,28885,0.04,29126,0.05,24041,-0.13,17913,5.86,26104,18.4,18282,-1.24,30285,3.95,30044,1.21,30795,9.42,21423,31.2,8051,5.61,25364,6.5,24384,5.22,25802,0.04,28945,0.06,30421
"E01004785","Greater Manchester","Bolton 006B",22.34,2,4,12451,"B","North West",22.34,12320,0.09,19588,0.1,11812,0.75,6403,29.75,8435,20.46,15985,0.54,8522,16.51,16543,16.95,15321,15.63,16255,29.23,8808,11.68,19376,40.14,5321,19.36,13759,0.12,19072,0.13,20903
"E01004786","Greater Manchester","Bolton 006C",12.04,4,7,21704,"B","North West",12.04,21491,0.07,23581,0.08,15889,0.33,11267,10.26,21330,11.76,25975,-0.42,22371,12.77,19987,5.36,25645,27.59,9490,18.02,14607,5.5,25487,8.61,22205,11.9,19188,0.09,22308,0.08,27904
"E01004787","Greater Manchester","Bolton 013A",71.5,1,1,175,"B","North West",71.5,183,0.42,845,0.33,247,2.07,273,54.54,2461,19.02,17579,1.86,315,53.01,1988,77.13,726,4.77,26324,21.26,12631,16.77,15445,50.08,3305,58.99,2107,0.5,2275,0.47,1649
"E01004788","Greater Manchester","Bolton 002A",6.2,5,9,29085,"B","North West",6.2,28771,0.03,31253,0.06,21539,-0.03,16401,2.53,30007,12.77,24835,-0.54,24002,6.51,27076,2.64,28920,14.26,17281,22.06,12187,3.47,27869,1.53,30369,3.53,27800,0,32166,0.07,29083
"E01004789","Greater Manchester","Bolton 006D",11.86,4,7,21907,"B","North West",11.86,21692,0.03,30655,0.05,25400,-0.16,18242,5.54,26475,16.47,20626,1.5,958,4.27,29685,5.28,25738,2.25,29417,29.49,8705,3.44,27907,2.91,28569,8.16,22650,0,32093,0.06,30545
"E01004790","Greater Manchester","Bolton 002B",14.69,3,6,18740,"B","North West",14.69,18538,0.1,17404,0.09,14844,0.47,9528,4.94,27163,19.53,17001,-0.72,26059,16.88,16227,10.71,20229,29.21,8818,26.95,9772,12.11,19013,5.03,26020,4.86,26214,0.11,19470,0.15,18268
"E01004791","Greater Manchester","Bolton 006E",9.83,4,8,24486,"B","North West",9.83,24248,0.09,18980,0.06,21906,0.18,13425,8.61,22974,6.93,30282,-1.32,30727,13.3,19460,10.59,20338,18.7,14168,4.7,26398,9.15,21683,7.56,23268,9.67,21189,0.06,25567,0.2,13530
"E01004792","Greater Manchester","Bolton 006F",7,5,9,28096,"B","North West",7,27808,0.04,29060,0.07,20564,0.07,14957,4.05,28204,16.49,20585,-1.65,31852,5.73,27991,2.02,29721,13.17,18138,27.31,9612,5.67,25296,1.57,30306,6.52,24361,0,32123,0.07,29327
"E01004793","Greater Manchester","Bolton 013B",69.34,1,1,258,"B","North West",69.34,267,0.39,1418,0.31,377,1.96,407,59.63,1840,11.37,26372,2.26,65,56.08,1542,62.6,1739,43.03,4643,7.27,23560,15.46,16377,71.75,1029,47.5,3747,0.51,1918,0.36,4396
"E01004794","Greater Manchester","Bolton 013C",59.96,1,1,826,"B","North West",59.96,827,0.42,917,0.27,778,1.68,948,61.09,1675,14.52,22863,0.75,6109,38.37,5493,38.01,5878,39.1,5588,10.96,20008,18.07,14574,78.21,673,43.96,4442,0.51,2016,0.34,5379
"E01004795","Greater Manchester","Bolton 013D",40.59,1,2,4418,"B","North West",40.59,4395,0.23,6904,0.22,1946,1.6,1143,24.78,10656,10.99,26742,0.25,12660,41.24,4660,46.5,3933,30.71,8234,10.73,20213,11.26,19746,24.89,10727,24.66,10836,0.19,13405,0.3,6947
"E01004796","Greater Manchester","Bolton 019A",22.48,2,4,12355,"B","North West",22.48,12225,0.1,18119,0.09,13678,0.39,10509,21.58,12419,7.18,30098,1.13,2658,37.33,5821,36.91,6189,38.17,5835,1.46,30458,12.9,18357,20.82,12887,22.35,12027,0.11,20212,0.12,21456
"E01004797","Greater Manchester","Bolton 013E",44.7,1,2,3302,"B","North West",44.7,3299,0.32,3193,0.19,3304,1.2,2800,47.13,3710,11.2,26534,1.16,2495,29.55,8694,20.34,13163,47.97,3663,10.75,20200,11.64,19410,52.5,2932,41.76,4930,0.39,4948,0.42,2662
"E01004798","Greater Manchester","Bolton 019B",39.76,1,2,4662,"B","North West",39.76,4636,0.21,7822,0.18,3951,1.27,2391,47.04,3739,10.81,26930,1.22,2125,24.45,11148,29.52,8693,14.31,17236,6.55,24328,15.06,16671,45.49,4129,48.58,3556,0.27,9290,0.24,10276
"E01004799","Greater Manchester","Bolton 019C",15.52,3,6,17953,"B","North West",15.52,17763,0.09,19694,0.1,13083,0.68,7132,10.9,20729,12.67,24934,0.05,15582,5.92,27765,4.27,26909,9.24,21599,14.82,16852,10.53,20396,8.57,22243,13.22,18098,0.1,21259,0.14,19093
"E01004800","Greater Manchester","Bolton 019D",14.07,3,6,19366,"B","North West",14.07,19159,0.07,22635,0.09,13805,0.49,9330,11.47,20184,19.99,16502,-1.12,29604,13.02,19738,16.62,15552,5.81,25138,28.35,9171,11.63,19423,7.13,23715,15.81,16122,0.1,21494,0.1,24412
"E01004801","Greater Manchester","Bolton 019E",64.5,1,1,487,"B","North West",64.5,498,0.41,1081,0.27,815,1.84,584,60.85,1706,18.71,17956,1.39,1338,47.2,3158,51.22,3125,39.16,5571,21.48,12506,15.94,16031,64.09,1604,57.61,2264,0.58,990,0.37,4031
"E01004802","Greater Manchester","Bolton 010A",58.92,1,1,925,"B","North West",58.92,924,0.39,1374,0.25,1284,1.72,825,64.51,1314,17.36,19521,0.18,13728,58.75,1224,73.34,932,29.56,8679,20.1,13311,14.62,17001,79.28,623,49.74,3360,0.47,2916,0.42,2578
"E01004803","Greater Manchester","Bolton 001B",7.2,5,9,27850,"B","North West",7.2,27559,0.04,29150,0.05,24096,-0.05,16756,3.66,28670,25.67,10767,-1.4,31057,5.81,27915,7.68,23141,2.07,29650,46.69,3898,4.66,26447,3.17,28246,4.15,27056,0.03,31038,0.07,28631
"E01004804","Greater Manchester","Bolton 001C",5.74,5,10,29595,"B","North West",5.74,29280,0.03,30459,0.05,26263,-0.07,16958,2.51,30042,23.46,12915,-1.73,32020,3.66,30309,3.93,27318,3.13,28295,40.61,5204,6.3,24602,1.96,29798,3.05,28391,0.02,31326,0.09,26569
"E01004805","Greater Manchester","Bolton 002C",5.17,5,10,30189,"B","North West",5.17,29867,0.05,26931,0.05,25278,-0.25,19627,2.96,29485,12.44,25204,-1.18,29964,6.67,26874,7.82,23000,4.36,26801,21.07,12743,3.81,27460,1.15,30882,4.78,26308,0.08,24081,0.07,29372
"E01004806","Greater Manchester","Bolton 002D",7.99,5,9,26890,"B","North West",7.99,26616,0.06,24320,0.06,20871,0.18,13280,4.41,27771,9.84,27857,-1.08,29283,7.85,25408,6.03,24899,11.49,19541,14.41,17160,5.26,25753,3.88,27370,4.93,26133,0.02,31359,0.11,23207
"E01004807","Greater Manchester","Bolton 001D",8.67,4,8,26022,"B","North West",8.67,25763,0.05,28054,0.06,21665,-0.09,17261,3.67,28651,9.66,28022,0.59,7990,5.83,27893,5.56,25421,6.38,24507,12.47,18714,6.86,23994,2.03,29698,5.31,25702,0.04,28584,0.07,29068
"E01004808","Greater Manchester","Bolton 001E",6.91,5,9,28227,"B","North West",6.91,27937,0.04,28458,0.05,24315,-0.05,16707,4.15,28080,12.75,24846,0.02,16102,4.93,28933,4.38,26774,6.01,24914,20.62,13002,4.89,26180,4.11,27095,4.2,26995,0.07,24813,0.06,30476
"E01004809","Greater Manchester","Bolton 003E",18.51,3,5,15328,"B","North West",18.51,15168,0.13,14057,0.1,13214,0.67,7175,9.79,21812,8.13,29385,-0.13,18208,27.25,9751,34.58,6893,12.59,18614,1.05,31013,15.2,16568,7.32,23508,12.25,18892,0.13,17645,0.26,9134
"E01004810","Greater Manchester","Bolton 002E",7.21,5,9,27833,"B","North West",7.21,27542,0.05,27469,0.05,24767,0.07,15013,3.83,28457,17.17,19720,-0.48,23235,7.28,26110,5.66,25302,10.51,20416,28.2,9233,6.15,24759,1.07,30992,6.59,24287,0.05,28090,0.11,23497
"E01004811","Greater Manchester","Bolton 022A",60.53,1,1,775,"B","North West",60.53,782,0.36,2056,0.24,1521,1.95,419,56.32,2263,13.37,24158,3.07,5,36.39,6116,42.24,4819,24.67,10833,6.05,24876,20.69,12960,53.02,2857,59.62,2039,0.41,4307,0.43,2407
"E01004812","Greater Manchester","Bolton 022B",47.96,1,1,2577,"B","North West",47.96,2583,0.37,1749,0.18,3850,1.32,2138,50.74,3063,19.68,16822,-0.3,20702,56.82,1466,70.55,1107,29.35,8759,16.93,15337,22.44,11981,57.43,2285,44.05,4424,0.47,2845,0.41,2865
"E01004813","Greater Manchester","Bolton 022C",34.14,2,3,6573,"B","North West",34.14,6505,0.26,5153,0.15,5884,0.96,4462,37.13,6034,10.64,27076,0.35,11213,30.3,8379,36.15,6409,18.58,14245,2.14,29558,19.14,13892,37.25,6091,37.02,6156,0.34,6674,0.27,8778
"E01004814","Greater Manchester","Bolton 027A",40.63,1,2,4409,"B","North West",40.63,4386,0.28,4511,0.18,3994,1.03,3930,28.58,8934,19.22,17338,0.9,4499,48.02,2972,35.51,6604,73.05,949,19.96,13392,18.49,14306,26.31,10057,30.85,8182,0.33,7016,0.36,4632
"E01004815","Greater Manchester","Bolton 022D",31.54,2,3,7616,"B","North West",31.54,7544,0.2,8486,0.14,6797,0.91,4893,25.07,10508,9.32,28353,0.69,6680,43.6,4014,39.12,5582,52.57,2923,2.62,28941,16.02,15974,14.09,17411,36.05,6439,0.27,9630,0.23,11259
"E01004816","Greater Manchester","Bolton 029A",32.97,2,3,7006,"B","North West",32.97,6944,0.26,5387,0.14,7569,1.15,3117,40,5315,14.44,22967,0.11,14726,21.55,12844,12.44,18732,39.78,5413,11.43,19597,17.44,14990,38.57,5728,41.43,5007,0.32,7367,0.27,8656
"E01004817","Greater Manchester","Bolton 022E",40.05,1,2,4571,"B","North West",40.05,4546,0.23,6780,0.21,2503,1.56,1269,20.42,13123,20.31,16151,0.47,9450,38.28,5529,32.18,7698,50.47,3242,21.98,12233,18.64,14207,20.92,12829,19.92,13417,0.21,12478,0.36,4550
"E01004818","Greater Manchester","Bolton 017A",45.86,1,1,3025,"B","North West",45.86,3027,0.27,4910,0.24,1477,1.88,526,28.78,8849,11.38,26365,-0.35,21514,51.94,2158,48.98,3487,57.86,2235,0.31,32046,22.45,11974,22.22,12099,35.35,6653,0.26,9945,0.41,2924
"E01004819","Greater Manchester","Bolton 017B",30.28,2,3,8150,"B","North West",30.28,8075,0.14,12809,0.13,8478,0.94,4627,16.58,15833,11.13,26604,1.67,585,31.33,7971,39.08,5593,15.82,16116,5.95,24985,16.31,15766,15.43,16400,17.73,14800,0.18,14485,0.21,12996
"E01004820","Greater Manchester","Bolton 011A",62.01,1,1,653,"B","North West",62.01,664,0.41,1093,0.26,944,2.13,223,54.4,2484,15.8,21419,0.04,15780,66.48,558,59.68,2032,80.09,587,7.22,23616,24.38,10975,28.55,9087,80.25,580,0.4,4630,0.62,358
"E01004822","Greater Manchester","Bolton 016B",55.56,1,1,1320,"B","North West",55.56,1324,0.44,587,0.24,1380,1.76,742,51.05,3015,17.85,18924,-0.57,24356,35.75,6329,32.08,7734,43.1,4628,14.11,17391,21.58,12453,27.9,9360,74.2,882,0.44,3590,0.72,177
"E01004823","Greater Manchester","Bolton 016C",68.52,1,1,284,"B","North West",68.52,294,0.53,113,0.44,21,3.22,3,50.07,3174,13.15,24392,-0.1,17788,29.51,8720,22.64,11875,43.25,4595,6.26,24643,20.05,13341,47.66,3718,52.47,2937,0.52,1868,0.66,264
"E01004824","Greater Manchester","Bolton 005E",49.34,1,1,2310,"B","North West",49.34,2314,0.35,2254,0.16,5241,1.29,2313,54.83,2418,23.77,12618,1.17,2382,46.73,3253,60.69,1927,18.83,14089,23.95,11193,23.58,11378,10.51,20415,99.15,17,0.32,7316,0.59,474
"E01004825","Greater Manchester","Bolton 011B",68.81,1,1,276,"B","North West",68.81,285,0.42,878,0.25,1217,1.73,807,65.35,1241,18.19,18531,2.02,169,65.32,635,59.82,2017,76.3,768,15.05,16680,21.33,12595,30.91,8159,99.78,5,0.38,5409,0.69,199
"E01004826","Greater Manchester","Bolton 011C",57.62,1,1,1084,"B","North West",57.62,1088,0.38,1527,0.19,3404,1.32,2167,55.58,2341,10.64,27079,3.03,6,60.41,1056,67.86,1297,45.51,4124,4.58,26547,16.7,15495,57.67,2257,53.5,2790,0.48,2620,0.38,3971
"E01004827","Greater Manchester","Bolton 021A",56.49,1,1,1209,"B","North West",56.49,1215,0.39,1293,0.24,1401,1.62,1069,50.96,3026,8.86,28747,1.24,1988,39.49,5159,38.44,5763,41.6,4969,2.35,29288,15.38,16436,44.95,4236,56.97,2339,0.45,3255,0.45,2024
"E01004828","Greater Manchester","Bolton 023A",52.45,1,1,1777,"B","North West",52.45,1784,0.35,2319,0.18,3895,1.36,1971,50.21,3148,9.26,28422,2.08,127,49.24,2712,57.62,2263,32.47,7594,0.96,31143,17.57,14903,40.67,5190,59.76,2024,0.42,4064,0.44,2099
"E01004829","Greater Manchester","Bolton 023B",43.96,1,2,3452,"B","North West",43.96,3444,0.3,3720,0.16,5452,0.81,5793,41.69,4876,12.73,24878,1.57,777,54.76,1724,63.77,1632,36.73,6239,2.27,29385,23.18,11587,13.73,17690,69.65,1168,0.29,8603,0.68,216
"E01004830","Greater Manchester","Bolton 026A",40.34,1,2,4492,"B","North West",40.34,4468,0.22,7236,0.17,4499,0.93,4715,41.21,4994,8.54,29039,1.67,588,40.52,4853,42.46,4770,36.64,6267,0.1,32346,16.99,15294,37.37,6056,45.05,4216,0.29,8615,0.26,9118
"E01004831","Greater Manchester","Bolton 026B",17.56,3,5,16147,"B","North West",17.56,15972,0.12,15728,0.08,15603,0.23,12662,24.81,10641,6.88,30317,-0.55,24092,33.3,7201,40.03,5349,19.85,13456,2.24,29426,11.52,19521,16.64,15538,32.98,7418,0.17,14756,0.16,17337
"E01004832","Greater Manchester","Bolton 023C",23.35,2,4,11803,"B","North West",23.35,11681,0.12,14964,0.12,9134,0.75,6399,21.32,12563,7.89,29562,0.31,11789,31.44,7934,36.23,6386,21.86,12298,0.17,32245,15.61,16271,18.79,14110,23.85,11244,0.16,15915,0.17,16489
"E01004833","Greater Manchester","Bolton 026C",18.74,3,5,15134,"B","North West",18.74,14976,0.09,19932,0.09,14670,0.31,11577,16.36,16009,11.94,25768,1.06,3175,19.31,14327,13.37,17975,31.19,8053,14.56,17050,9.33,21514,12.62,18586,20.11,13304,0.09,22460,0.13,20657
"E01004834","Greater Manchester","Bolton 018A",30.24,2,3,8170,"B","North West",30.24,8095,0.18,9533,0.14,7776,1.16,3084,22.81,11735,7.83,29595,0.47,9508,41.79,4497,57.18,2314,11,19976,0.57,31672,15.09,16648,16.6,15566,29.02,8893,0.22,11809,0.29,7355
"E01004835","Greater Manchester","Bolton 020A",12.83,4,7,20777,"B","North West",12.83,20579,0.07,23394,0.11,11579,0.22,12816,4.05,28197,19.5,17035,-0.12,18105,2.85,31068,1.05,31012,6.43,24453,31.22,8043,7.77,23046,2.72,28811,5.38,25616,0.06,26348,0.09,26311
"E01004836","Greater Manchester","Bolton 020B",12.67,4,7,20967,"B","North West",12.67,20765,0.07,23728,0.08,15990,0.53,8823,9.13,22462,11.17,26551,0.01,16216,7.82,25438,6.69,24173,10.09,20800,15.14,16616,7.21,23626,7.02,23830,11.24,19762,0.06,26791,0.1,24430
"E01004837","Greater Manchester","Bolton 020C",7.42,5,9,27569,"B","North West",7.42,27287,0.04,29583,0.05,26426,0.08,14855,3.59,28735,27.26,9366,-0.7,25840,2.15,31624,0.75,31434,4.96,26097,51.14,3137,3.38,27990,4.75,26347,2.44,29169,0,32297,0.08,28075
"E01004838","Greater Manchester","Bolton 018B",39.47,1,2,4749,"B","North West",39.47,4720,0.26,5181,0.17,4473,1.31,2221,33.77,7027,8.01,29474,0.6,7817,47.93,2989,62.81,1720,18.17,14512,0.6,31636,15.42,16405,37.94,5899,29.6,8661,0.35,6493,0.26,9442
"E01004839","Greater Manchester","Bolton 026D",54.73,1,1,1438,"B","North West",54.73,1446,0.37,1826,0.28,652,1.93,443,42.64,4639,11.66,26083,0.55,8433,29.94,8529,37.22,6098,15.37,16447,9.25,21585,14.06,17433,44.04,4425,41.23,5055,0.42,4011,0.46,1862
"E01004840","Greater Manchester","Bolton 012A",21.33,3,5,13140,"B","North West",21.33,13009,0.1,17124,0.11,10907,0.6,8022,9.07,22510,24.07,12283,0.67,6979,21.98,12557,27.09,9710,11.75,19318,41.21,5060,6.94,23913,10.93,20035,7.21,23624,0.12,18675,0.11,23267
"E01004841","Greater Manchester","Bolton 012B",66.95,1,1,356,"B","North West",66.95,365,0.46,441,0.29,525,1.85,567,71.32,810,22.9,13452,-0.18,18934,53.98,1836,78.61,654,4.71,26386,27.09,9709,18.71,14163,87.6,305,55.04,2582,0.56,1235,0.43,2408
"E01004842","Greater Manchester","Bolton 012C",5.71,5,10,29633,"B","North West",5.71,29318,0.05,27444,0.05,25785,0.08,14886,2.21,30371,8.38,29179,-0.85,27375,7.75,25556,9.52,21327,4.2,26989,14.23,17303,2.53,29054,1.29,30690,3.14,28287,0.04,28638,0.08,27398
"E01004843","Greater Manchester","Bolton 018C",7.95,5,9,26935,"B","North West",7.95,26661,0.04,28502,0.07,20389,0.13,14108,2.22,30366,14.75,22595,-0.54,24011,10.24,22618,9.32,21523,12.09,19027,25.78,10301,3.72,27564,1.26,30734,3.18,28239,0.03,30316,0.08,27651
"E01004844","Greater Manchester","Bolton 020D",4.98,5,10,30392,"B","North West",4.98,30070,0.03,31251,0.04,29605,-0.48,22756,1.98,30642,26.59,9934,-0.8,26882,4.01,29966,0.7,31490,10.63,20301,51.38,3100,1.81,29994,2.62,28934,1.33,30640,0.04,28643,0,32360
"E01004845","Greater Manchester","Bolton 018D",10.04,4,8,24212,"B","North West",10.04,23971,0.06,24145,0.07,18152,0.26,12331,2.87,29598,14.16,23264,-0.47,23090,11.78,20981,8.95,21876,17.43,14997,21.52,12487,6.81,24052,2.74,28783,2.99,28467,0.07,25341,0.09,26634
"E01004846","Greater Manchester","Bolton 025A",43.52,1,2,3584,"B","North West",43.52,3574,0.3,3588,0.19,3473,1.06,3690,46.76,3793,12.66,24950,0.45,9785,53.74,1873,64.56,1563,32.1,7727,5.54,25443,19.78,13503,41.98,4880,51.54,3076,0.33,7072,0.44,2221
"E01004847","Greater Manchester","Bolton 025B",51.49,1,1,1929,"B","North West",51.49,1933,0.42,826,0.2,2789,1.43,1668,40.87,5095,16.98,19958,0.4,10433,49.27,2705,56.95,2342,33.9,7111,14.67,16967,19.29,13803,21.35,12584,60.4,1957,0.5,2214,0.61,406
"E01004848","Greater Manchester","Bolton 016D",66.22,1,1,394,"B","North West",66.22,404,0.47,376,0.31,360,2.64,38,51.08,3011,14.61,22751,0.49,9170,41.35,4631,30.68,8245,62.69,1731,10.27,20630,18.95,14011,33,7413,69.15,1203,0.45,3342,0.8,98
"E01004849","Greater Manchester","Bolton 021B",46.74,1,1,2814,"B","North West",46.74,2816,0.39,1271,0.19,3346,1.18,2948,45.38,4052,13.27,24264,0.03,15849,47.57,3069,42.26,4815,58.2,2196,2.61,28954,23.93,11204,23.37,11487,67.38,1333,0.45,3236,0.79,101
"E01004850","Greater Manchester","Bolton 021C",52.28,1,1,1802,"B","North West",52.28,1808,0.34,2412,0.24,1377,1.39,1826,48.27,3491,12.46,25185,0.27,12322,63.29,792,73.73,909,42.41,4781,2.71,28824,22.2,12109,50.19,3288,46.36,3960,0.42,4139,0.31,6405
"E01004851","Greater Manchester","Bolton 021D",55.42,1,1,1342,"B","North West",55.42,1346,0.43,784,0.25,1169,1.9,496,41.98,4807,11.13,26602,0.12,14478,38.84,5362,21.75,12357,73.02,951,1.13,30910,21.14,12703,15.06,16674,68.9,1221,0.38,5277,0.71,182
"E01004852","Greater Manchester","Bolton 025C",35.43,1,2,6119,"B","North West",35.43,6061,0.26,5187,0.15,6088,1.2,2814,39.04,5542,13.18,24372,-0.83,27185,44.58,3758,44.44,4341,44.87,4254,1.29,30691,25.06,10642,11.55,19489,66.54,1399,0.29,8788,0.22,11914
"E01004853","Greater Manchester","Bolton 021E",55.44,1,1,1338,"B","North West",55.44,1343,0.38,1516,0.2,3069,1.54,1334,49.53,3254,12.78,24824,1.96,223,43.86,3944,49.39,3418,32.78,7487,2.41,29215,23.16,11599,23.04,11660,76.02,783,0.35,6374,0.68,224
